,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__bootstrap,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2518669605255127,0.013914684590770745,0.02224588394165039,0.0011570712791526172,True,5,auto,2,50,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'auto', 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",-46.48127618391195,-36.849635371413974,-46.80180890864185,-43.13327217973342,-42.29780227445348,-43.11275898363094,3.6013133740003638,69
1,0.7002453327178955,0.12243518663405051,0.04154767990112305,0.01467761386401619,True,5,auto,2,100,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'auto', 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",-46.54738907529213,-36.71477893315161,-46.168541879709394,-42.950519350461505,-42.830332501825886,-43.04231234808811,3.5256180869385423,64
2,0.7014682292938232,0.32390528357494264,0.027186250686645506,0.001322701803393487,True,5,auto,2,200,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'auto', 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",-46.26161727146586,-36.78654979229542,-45.73859753895458,-43.03377538571393,-41.59163842825888,-42.68243568333773,3.412489261722825,47
3,1.0582357406616212,0.014664392027776113,0.04499406814575195,0.0009041910041908026,True,5,auto,2,400,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'auto', 'rf__min_samples_split': 2, 'rf__n_estimators': 400}",-46.13934328319002,-36.67864107013308,-45.92263915128054,-43.04224750382516,-42.09613809464986,-42.77580182061574,3.4329084361760343,53
4,0.1462172031402588,0.0031362186234331463,0.013141870498657227,0.0015145509790001853,True,5,auto,6,50,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'auto', 'rf__min_samples_split': 6, 'rf__n_estimators': 50}",-45.94310200658147,-37.55092762693372,-45.85591186055935,-42.740647464189756,-41.46719952931654,-42.71155769751617,3.114842465191118,50
5,0.27576618194580077,0.007894657441745475,0.01804637908935547,0.0013075861990969847,True,5,auto,6,100,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'auto', 'rf__min_samples_split': 6, 'rf__n_estimators': 100}",-45.86184835034036,-36.60469245938237,-45.81219675699653,-43.507160735704524,-41.76724095766603,-42.710627852017964,3.416337535655579,49
6,0.5305867195129395,0.007097116703444381,0.028049325942993163,0.002188447971903759,True,5,auto,6,200,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'auto', 'rf__min_samples_split': 6, 'rf__n_estimators': 200}",-46.15048484468179,-36.49128206212181,-46.342128954747835,-42.905205618301984,-41.85882482680527,-42.74958526133174,3.5904461824569065,52
7,1.048105001449585,0.012039709324325711,0.049348068237304685,0.003469756750931213,True,5,auto,6,400,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'auto', 'rf__min_samples_split': 6, 'rf__n_estimators': 400}",-46.10690150961087,-36.82152497820252,-46.522618586704,-43.19163901804001,-42.195379039323505,-42.96761262637618,3.490390464877368,61
8,0.14465641975402832,0.003110999228661768,0.014483451843261719,0.0024597489071887576,True,5,auto,10,50,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'auto', 'rf__min_samples_split': 10, 'rf__n_estimators': 50}",-46.5526904749785,-36.84652081671186,-45.641287030120296,-43.5557579917323,-42.23955064484901,-42.967161391678395,3.415993885878208,60
9,0.27812900543212893,0.009353731076996056,0.017446517944335938,0.0007173989769107286,True,5,auto,10,100,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'auto', 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",-46.46995821403609,-36.9632374361931,-46.126237252155015,-43.12939570027837,-42.90626086894117,-43.11901789432075,3.412071968519956,70
10,0.5390744209289551,0.006198215010298468,0.028942012786865236,0.0021462326530470965,True,5,auto,10,200,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'auto', 'rf__min_samples_split': 10, 'rf__n_estimators': 200}",-46.202952156793074,-36.929855542228374,-46.495322071016176,-43.15268423222764,-42.15596676544759,-42.987356153542564,3.465767963340522,62
11,1.0402756690979005,0.01104376560720195,0.04576115608215332,0.00214337462655905,True,5,auto,10,400,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'auto', 'rf__min_samples_split': 10, 'rf__n_estimators': 400}",-45.72373248401632,-37.04020934837116,-46.069809052234596,-43.14348513976648,-42.40211622054544,-42.8758704489868,3.2453832792077026,59
12,0.09972505569458008,0.0038238072733957013,0.012613868713378907,0.0004950020471895043,True,5,sqrt,2,50,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",-50.421261956306374,-41.30613481717808,-51.389655052030996,-48.75420545150887,-44.5593402075715,-47.28611949691916,3.7952322913238494,88
13,0.18174829483032226,0.005772199741576167,0.017313814163208006,0.0006729388380556973,True,5,sqrt,2,100,"{'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",-50.29610601632709,-40.53207802347218,-51.26164329695323,-49.12451547741853,-45.241311467778225,-47.29113085638985,3.950764448691756,89
