,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gbm__max_depth,param_gbm__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.27454681396484376,0.05078115712341311,0.05761022567749023,0.01141527075760095,4,10,"{'gbm__max_depth': 4, 'gbm__n_estimators': 10}",-53.8372035744676,-45.5262985140661,-53.14371307599135,-51.52492548775407,-48.4050525740008,-50.48743864525598,3.108129374133955,17
1,0.40323801040649415,0.06470282185008275,0.07569561004638672,0.015238995004330094,4,20,"{'gbm__max_depth': 4, 'gbm__n_estimators': 20}",-46.11608854265628,-37.117916514325145,-46.43736494097312,-43.4063646154357,-42.3140907380983,-43.07836507029771,3.3683613217878103,10
2,0.6335606098175048,0.1304762841292011,0.04990496635437012,0.017026081356444314,4,40,"{'gbm__max_depth': 4, 'gbm__n_estimators': 40}",-44.095575550621426,-32.84373356733874,-43.66283276714719,-41.531615951694945,-40.94290565679211,-40.61533269871889,4.068021117858242,4
3,1.0743268013000489,0.07120483914203862,0.05922431945800781,0.011890091113269515,4,80,"{'gbm__max_depth': 4, 'gbm__n_estimators': 80}",-43.35464515117315,-32.25372085697344,-43.43718315345086,-41.62029493666253,-41.1788164603966,-40.36893211173132,4.157093265638572,3
4,2.0296923160552978,0.14679304453583122,0.05453357696533203,0.00921494624641938,4,160,"{'gbm__max_depth': 4, 'gbm__n_estimators': 160}",-43.497835275113715,-32.73256782765935,-43.107074375109356,-40.928802997611875,-40.71366220630697,-40.195988536360254,3.8957480510172506,1
5,3.8967741966247558,0.1136181273872064,0.06682848930358887,0.016311059987607745,4,320,"{'gbm__max_depth': 4, 'gbm__n_estimators': 320}",-43.79245330242826,-33.064708716945404,-43.47517816437308,-41.296803246300705,-40.09631317823786,-40.34509132165706,3.889816584173365,2
6,0.3076321125030518,0.024624026106338306,0.045914840698242185,0.008151386314090446,8,10,"{'gbm__max_depth': 8, 'gbm__n_estimators': 10}",-51.39302521112064,-42.131298807963496,-48.71011191337367,-49.183533401490415,-46.14486491350385,-47.51256684949042,3.165844431261277,11
7,0.601043701171875,0.07319046911029317,0.07041411399841309,0.014268277984651002,8,20,"{'gbm__max_depth': 8, 'gbm__n_estimators': 20}",-45.343367610085274,-37.59095469884397,-42.56463614988062,-43.75950472819514,-40.18013550612346,-41.88771973862569,2.7306164433954287,9
8,1.0256417274475098,0.038385494054751376,0.05706968307495117,0.01220430363099044,8,40,"{'gbm__max_depth': 8, 'gbm__n_estimators': 40}",-44.56817593559716,-36.230869073860354,-40.669084976697334,-42.46474480713216,-39.19094318544509,-40.624763595746415,2.83901906170445,5
9,1.69382700920105,0.07504888492023451,0.055261087417602536,0.008420786961980536,8,80,"{'gbm__max_depth': 8, 'gbm__n_estimators': 80}",-44.75054037586549,-35.71173836785879,-41.27916523239314,-42.58342006960247,-39.008697868333705,-40.66671238281072,3.0992675762344635,7
10,3.438273811340332,0.07560005857269424,0.05268430709838867,0.01302886751211957,8,160,"{'gbm__max_depth': 8, 'gbm__n_estimators': 160}",-44.76873635457116,-36.32857644992217,-41.269941003845084,-43.27863547192866,-39.99654629560474,-41.12848711517436,2.9056838815332946,8
11,6.230229711532592,0.1071223827311296,0.07744903564453125,0.01489828563822437,8,320,"{'gbm__max_depth': 8, 'gbm__n_estimators': 320}",-44.56760890909784,-36.142017703730886,-41.16709539418524,-42.47268911668287,-38.791158770699404,-40.62811397887925,2.9227399110090375,6
12,0.37495622634887693,0.028441329463005996,0.04635467529296875,0.019129306040106285,12,10,"{'gbm__max_depth': 12, 'gbm__n_estimators': 10}",-54.217599236025244,-46.73073905401319,-53.47711974383168,-50.76077649294598,-49.18253067080041,-50.8737530395233,2.7566786997268844,18
13,0.5978525161743165,0.03852293215088215,0.05086956024169922,0.007583041974834316,12,20,"{'gbm__max_depth': 12, 'gbm__n_estimators': 20}",-51.75570444357063,-44.768297159251176,-50.8199097713182,-48.56274609127896,-46.59979918445055,-48.50129132997391,2.58928139592112,12
14,1.0692203521728516,0.045963302341837944,0.0554654598236084,0.009110629758959871,12,40,"{'gbm__max_depth': 12, 'gbm__n_estimators': 40}",-51.52689436642494,-46.570703366656986,-50.69502555343559,-49.23353561418674,-46.73915932009014,-48.953063644158874,2.0156742422411456,13
15,1.99533953666687,0.043992580075128504,0.05039854049682617,0.004898971975410161,12,80,"{'gbm__max_depth': 12, 'gbm__n_estimators': 80}",-52.288132754969894,-45.616928130996726,-51.609460727834765,-49.72146305971433,-47.00047120302021,-49.24729117530718,2.579889040436387,16
16,3.942578744888306,0.10484872487706563,0.055477237701416014,0.01611154284659053,12,160,"{'gbm__max_depth': 12, 'gbm__n_estimators': 160}",-51.989370895312135,-46.07295830622113,-50.79606508323388,-49.679427234084386,-47.08733186380638,-49.12503067653158,2.2258265262741066,15
17,7.140946578979492,0.4910892921653035,0.07720613479614258,0.004161066344181209,12,320,"{'gbm__max_depth': 12, 'gbm__n_estimators': 320}",-51.662096306221905,-46.04319338935478,-50.869486233501895,-49.807851310297956,-46.45110158402258,-48.96674576467983,2.3008006653031625,14
18,0.33611407279968264,0.009145595247628759,0.04304814338684082,0.005591003809724352,16,10,"{'gbm__max_depth': 16, 'gbm__n_estimators': 10}",-54.83380367135046,-47.83108525230677,-54.737495812091026,-51.91351019285201,-50.7713886838599,-52.017456722492035,2.6237232822687893,24
